año,mes,codigo_linea,linea,viajeros_total,creditrans,gizatrans,gazte_70,goro,ocasional,familia_numerosa,menores_6,empresa,fecha,flag_covid,flag_subsidio
2024,12,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),6850.0,3452.0,1412.0,171.0,332.0,126.0,0.0,162.0,159.0,2024-12-01,0,1
2025,1,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),7422.0,3570.0,1624.0,245.0,343.0,144.0,0.0,170.0,172.0,2025-01-01,0,1
2025,2,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),7072.0,3426.0,1492.0,200.0,384.0,124.0,0.0,121.0,187.0,2025-02-01,0,1
2025,3,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),8185.0,4067.0,1757.0,200.0,419.0,127.0,0.0,151.0,229.0,2025-03-01,0,1
2025,4,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),7959.0,3973.0,1593.0,178.0,343.0,109.0,0.0,223.0,194.0,2025-04-01,0,1
2025,5,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),7926.0,3781.0,1695.0,205.0,394.0,107.0,0.0,219.0,249.0,2025-05-01,0,1
2025,6,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),7829.0,3854.0,1620.0,111.0,339.0,136.0,0.0,225.0,247.0,2025-06-01,0,1
2025,7,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),7329.0,3672.0,1491.0,73.0,287.0,125.0,0.0,236.0,167.0,2025-07-01,0,1
2025,8,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),6253.0,3181.0,1432.0,74.0,191.0,116.0,0.0,269.0,193.0,2025-08-01,0,1
2025,9,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),7839.0,4039.0,1509.0,192.0,352.0,101.0,0.0,187.0,202.0,2025-09-01,0,1
2025,10,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),8777.0,4281.0,1715.0,242.0,506.0,122.0,0.0,219.0,231.0,2025-10-01,0,1
2025,11,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),8029.0,3825.0,1482.0,245.0,448.0,100.0,0.0,215.0,240.0,2025-11-01,0,1
2025,12,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),9960.0,5582.0,1638.0,280.0,440.0,119.0,0.0,140.0,255.0,2025-12-01,0,1
2020,1,A2314,BILBAO - Erandiogoikoa - UPV/EHU,20042.0,14143.0,393.0,2207.0,669.0,809.0,9.0,109.0,127.0,2020-01-01,1,0
2020,2,A2314,BILBAO - Erandiogoikoa - UPV/EHU,35519.0,22336.0,486.0,6325.0,1555.0,1193.0,6.0,86.0,191.0,2020-02-01,1,0
2020,3,A2314,BILBAO - Erandiogoikoa - UPV/EHU,16353.0,10514.0,181.0,2772.0,648.0,531.0,5.0,29.0,78.0,2020-03-01,1,0
2020,4,A2314,BILBAO - Erandiogoikoa - UPV/EHU,437.0,416.0,10.0,,1.0,0.0,0.0,0.0,7.0,2020-04-01,1,0
2020,5,A2314,BILBAO - Erandiogoikoa - UPV/EHU,1706.0,1553.0,88.0,29.0,2.0,0.0,0.0,0.0,17.0,2020-05-01,1,0
2020,6,A2314,BILBAO - Erandiogoikoa - UPV/EHU,3366.0,2860.0,202.0,121.0,33.0,0.0,0.0,28.0,39.0,2020-06-01,1,0
2020,7,A2314,BILBAO - Erandiogoikoa - UPV/EHU,5213.0,4408.0,309.0,153.0,40.0,0.0,0.0,63.0,69.0,2020-07-01,1,0
2020,8,A2314,BILBAO - Erandiogoikoa - UPV/EHU,1377.0,1173.0,70.0,79.0,5.0,0.0,0.0,4.0,5.0,2020-08-01,1,0
