año,codigo_linea,linea,expediciones_anuales,dias_servicio
2022,A3926,BILBAO - ERMUA - EIBAR (Autopista),28943,909
2022,A3927,BILBAO - LEMOA - ZEANURI (Autopista),17370,579
2022,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,16384,904
2022,A3930,BILBAO - GALDAKAO (Autopista),39780,698
2022,A3931,GARAI - DURANGO,4361,623
2022,A3932,GALDAKAO - Metro Bolueta,96006,909
2022,A3933,BILBAO - DURANGO (Autopista),36683,623
2023,A0651,BILBAO - BALMASEDA,46151,909
2023,A0652,LANESTOSA - BALMASEDA,9948,909
2023,A0653,TRUCIOS TURTZIOZ - ARTZENTALES,8722,623
2023,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,16198,623
2023,A2151,Areeta/Las Arenas - LARRABETZU,26259,909
2023,A2153,BILBAO - Txorierri - LARRABETZU,29250,909
2023,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,42200,909
2023,A2162,Andramari/Santa Maria Getxo - UPV/EHU (Algorta),13182,507
2023,A2163,ERANDIO - UPV/EHU,1311,437
2023,A2164,Andramari/Santa Maria Getxo - UPV/EHU (Fadura),2622,437
2023,A2166,Uribe Kosta - UPV/EHU,5681,437
2023,A2312,Zabalburu - UPV/EHU  (Juan de Garay),9633,507
2023,A2314,BILBAO - Erandiogoikoa - UPV/EHU,26320,675
2023,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,12484,551
2023,A2316,SESTAO - UPV/EHU,4370,437
2023,A2318,Termibus - UPV/EHU (Autopista),36593,577
2023,A2321,Santutxu - UPV/EHU (Autopista),16582,868
2023,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,27777,909
2023,A2324,BILBAO - UPV/EHU (Enekuri),5244,437
2023,A2326,BARAKALDO - UPV/EHU,11336,519
2023,A2336,MUSKIZ - UPV/EHU,5108,519
2023,A2610,GALDAKAO - UPV/EHU,12248,517
2023,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,4370,437
2023,A3115,BILBAO - SANTURTZI,86542,909
2023,A3122,BILBAO - SESTAO - Errepelega/Repelega,30518,909
2023,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,104222,909
2023,A3135,SESTAO - Cabieces,110067,909
2023,A3136,BILBAO - BARAKALDO - SANTURTZI,73901,909
2023,A3137,BILBAO - BARAKALDO,56501,909
2023,A3141,Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,52457,909
2023,A3144,BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),51819,751
2023,A3151,BILBAO - SANTURTZI  - PORTUGALETE (Autopista),48064,751
2023,A3223,BILBAO - LARRABETZU (Artxandako Tunelak/Tuneles Artxanda),28927,909
2023,A3224,BILBAO - DERIO - Teknologia Parkea/Parque TecnolÃ³gico,25057,909
2023,A3225,BILBAO - LAUKIZ - MUNGIA,16758,909
2023,A3247,BILBAO - Aireportua/Aeropuerto,106439,909
2023,A3250,BILBAO - Teknologia Parkea/Parque TecnolÃ³gico (Artxandako Tunelak/Tuneles Artxanda),19934,623
2023,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,34669,909
2023,A3323,PORTUGALETE - GALDAMES,15068,909
2023,A3331,SESTAO - VALLE DE TRAPAGA TRAPAGARAN,26982,909
2023,A3332,VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,100055,909
